T,average energy,average magnetization,specific heat,susceptibility
2.1,-1.662695,0.86930225,0.95938694,0.91478651
2.106,-1.6561042,0.86536396,0.97801,1.0007206
2.112,-1.6500233,0.86167093,1.001236,1.0847785
2.118,-1.644215,0.85790065,1.0283337,1.3187203
2.124,-1.6379933,0.85413493,1.0473328,1.3139468
2.13,-1.6320567,0.85043543,1.0685778,1.3913906
2.136,-1.6257735,0.84652371,1.0859614,1.6176878
2.142,-1.6188848,0.8417855,1.1137023,1.7391532
2.148,-1.6119185,0.8373154,1.1341085,1.7428794
2.154,-1.604732,0.83204356,1.1633319,1.9919051
2.16,-1.5989333,0.82910733,1.1682354,1.8619689
2.166,-1.5911798,0.82270267,1.2049435,2.2375721
2.172,-1.5858616,0.81796953,1.337679,2.764391
2.178,-1.5760767,0.81083018,1.2717923,2.9623893
2.184,-1.5692616,0.80525103,1.2965073,3.3027052
2.19,-1.5595772,0.79587903,1.3603904,4.0955395
2.196,-1.5520316,0.79079136,1.3609661,3.9275168
2.202,-1.5440736,0.7827051,1.4178695,4.7739885
2.208,-1.5355062,0.77402562,1.4675959,5.6928921
2.214,-1.5258081,0.76266795,1.5532541,6.9595057
2.22,-1.516654,0.75222885,1.5861328,8.2872536
2.226,-1.5070512,0.7416077,1.6415925,9.325137
2.232,-1.4970468,0.72970782,1.6744028,10.660297
2.238,-1.4910831,0.7279777,1.6673279,9.4674332
2.244,-1.476968,0.70438165,1.7867079,13.415268
2.25,-1.4746127,0.70240364,2.0802188,14.004489
2.256,-1.4573427,0.68180623,1.8341342,15.173126
2.262,-1.443254,0.6575976,1.9076087,18.078297
2.268,-1.4337551,0.64392967,1.9222965,19.606421
2.274,-1.4221612,0.62527522,1.976037,21.380733
2.28,-1.408113,0.5983115,2.0274878,25.193898
2.286,-1.3963181,0.57935545,2.047582,26.458729
2.292,-1.3830099,0.55502896,1.9977551,27.616104
2.298,-1.3725309,0.53990935,2.0135216,27.890372
2.304,-1.3579275,0.50768365,1.9959207,30.305616
2.31,-1.3498751,0.49939477,1.9408862,29.244953
2.316,-1.3383767,0.47797109,1.8991814,29.537598
2.322,-1.3244962,0.44497134,1.8708085,31.217018
2.328,-1.3568727,0.50641193,2.0614493,30.859037
2.334,-1.3055148,0.41367368,1.7542798,30.184793
2.34,-1.2938186,0.38669256,1.7325474,30.326235
2.346,-1.2849529,0.37850209,1.6609999,28.426052
2.352,-1.2742309,0.35624146,1.5750215,27.578811
2.358,-1.265842,0.34647353,1.5528154,27.237027
2.364,-1.2563503,0.32777887,1.4839116,25.602772
2.37,-1.2469087,0.30993588,1.4237097,24.425869
2.376,-1.239431,0.29818055,1.3974921,23.881037
2.382,-1.2300914,0.28441572,1.3162414,21.930311
2.388,-1.2237159,0.27808609,1.2932611,20.933121
2.394,-1.2146836,0.26431547,1.2501539,19.82495
2.4,-1.2070199,0.25293521,1.1981276,18.769088
2.25,-1.4664408,0.69223563,1.8188061,14.147455
2.252,-1.4645456,0.69175316,1.8138841,13.861835
2.254,-1.4596299,0.68183752,1.8447224,15.577099
2.256,-1.4553787,0.6749513,1.8779656,16.717749
2.258,-1.4512752,0.66974097,1.8661535,16.559889
2.26,-1.4476339,0.66268078,1.9170361,18.432481
2.262,-1.4440057,0.65886024,1.9203566,18.484217
2.264,-1.4416481,0.65765899,1.9144961,18.073162
2.266,-1.4353225,0.64367419,1.9496117,19.812953
2.268,-1.4334806,0.64575982,1.918049,18.802535
2.27,-1.4289603,0.63568203,1.9292174,20.278097
2.272,-1.424974,0.62784251,1.9897606,21.73576
2.274,-1.4263093,0.62910732,2.0440639,21.957728
2.276,-1.4184148,0.61901157,1.9863742,21.977577
2.278,-1.4131176,0.60808343,1.9878099,23.552084
2.28,-1.4076441,0.59934765,1.999381,23.955149
2.282,-1.4054276,0.59803691,2.0082488,24.209769
2.284,-1.4012283,0.58903519,2.0356107,25.188629
2.286,-1.3951561,0.5765661,2.0321447,26.195341
2.288,-1.3951678,0.58424591,1.965437,23.724712
2.29,-1.3877469,0.56531644,2.0350125,26.696256
2.292,-1.3848241,0.56206316,1.9889179,26.025734
2.294,-1.3806029,0.5504299,2.0370468,28.671636
2.296,-1.374438,0.53716401,2.0313143,29.0742
2.298,-1.3712993,0.53285134,2.0078186,29.320879
2.3,-1.3738883,0.53250389,2.1219472,30.725322
2.302,-1.3658685,0.52545086,1.9921859,29.55122
2.304,-1.3610473,0.51747218,1.9839433,29.301734
2.306,-1.3582948,0.51323415,1.9933282,29.826652
2.308,-1.3534948,0.50412133,1.9521946,29.667785
2.31,-1.3482689,0.49508898,1.9712475,29.51766
2.312,-1.3441757,0.48494512,1.979168,30.991082
2.314,-1.3392459,0.47282977,1.9234704,30.904491
2.316,-1.3358317,0.46816349,1.9157885,30.913001
2.318,-1.334134,0.47104585,1.8756293,29.274134
2.32,-1.3285199,0.45208655,1.8795847,31.476307
2.322,-1.3276122,0.46079083,1.8794266,30.045162
2.324,-1.3217283,0.44157624,1.8563201,31.339697
2.326,-1.3428091,0.48491795,2.0106884,30.22501
2.328,-1.315919,0.43536483,1.8243225,30.384461
2.33,-1.3111367,0.42501662,1.7986494,30.267481
2.332,-1.3062648,0.41196397,1.7616374,30.12311
2.334,-1.3048174,0.4115259,1.7694301,30.451971
2.336,-1.2999166,0.40294925,1.7346195,29.469234
2.338,-1.2973521,0.3975517,1.7495393,30.439163
2.34,-1.292663,0.38860618,1.7014831,29.321833
2.342,-1.2905498,0.38699852,1.6632609,28.832337
2.344,-1.2853659,0.37218317,1.6478296,28.755859
2.346,-1.2830159,0.37111705,1.6374603,28.738238
2.348,-1.2817459,0.37314957,1.6438451,28.332651
2.35,-1.2776902,0.36466916,1.584849,27.587358
